Combinations,Absolute Error,Root Mean Square Error
"['H-index', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7246776841908836,0.5251577459642621
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs']",0.729197392895958,0.5317288378062621
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs']",0.7217196603859242,0.5208792681875737
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs']",0.7269978803571693,0.528525918043817
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'ref/docs']",0.7185267198762073,0.5162806471760617
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7119004379410135,0.5068022335406068
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.724563433688254,0.5249921694381129
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'ref/docs']",0.7143331644935864,0.5102718698954212
"['Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7242009245982324,0.5244669791889347
"['Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7095526797693964,0.5034650053679316
"['Total Docs', 'Total Docs-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7234357117276636,0.5233592290029112
"['Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7217001175033121,0.5208510596042945
"['Total Docs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.719219856050858,0.517277201337817
"['Total Docs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7468250968371091,0.5577477252657573
"['Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7264611221445265,0.5277457619874847
"['Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.71362463546462,0.5092601203420117
"['Total Docs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7219976834426769,0.5212806548965919
"['Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.724035717993424,0.524227720930253
"['Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7087957732518757,0.5023914481797244
"['Total Docs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7245595279833302,0.5249865095914263
"['Total Docs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7229324664523392,0.5226313510508626
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7361936718544895,0.5419811224785958
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7297931485929545,0.5325980397332182
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7267779705486992,0.5282062184748859
"['Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7290851986867445,0.5315652269440897
"['Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.7238140232516936,0.5239067402558033
"['Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7260744634529503,0.5271841264784898
"['Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.725,0.525625
"['Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.729628365751117,0.5323575521086458
"['Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.721529332674228,0.5206045779093168
"['Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7261401442296231,0.5272795090618179
"['Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725741843635521,0.5267012236034849
"['Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs']",0.6551813238713337,0.4292625671497934
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs']",0.6633561590200152,0.44004139370978773
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs']",0.6598657064088262,0.43542275049441925
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'cites,doc 2 yrs']",0.7185231482603708,0.5162755145859947
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'ref/docs']",0.668037784797501,0.44627448191715224
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs']",0.6939111315186345,0.48151265844547164
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'Citable Docs-3 yrs']",0.6504062415839107,0.4230282790913084
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'cites,doc 2 yrs']",0.7180535655853842,0.5156009230498837
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'ref/docs']",0.6944246658522967,0.48222561654407387
"['SJR', 'H-index', 'Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6595076601580954,0.4349503538072058
"['SJR', 'H-index', 'Total Docs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.714629738842973,0.5106956636387757
"['SJR', 'H-index', 'Total Docs', 'Total cites-3yrs', 'ref/docs']",0.7120219072623375,0.5069751964214967
"['SJR', 'H-index', 'Total Docs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7177164943144941,0.5151169662110873
"['SJR', 'H-index', 'Total Docs', 'Citable Docs-3 yrs', 'ref/docs']",0.6643794509925829,0.4414000549012059
"['SJR', 'H-index', 'Total Docs', 'cites,doc 2 yrs', 'ref/docs']",0.7214469708364071,0.5204857317290276
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs']",0.664625026672455,0.4417264260793616
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs']",0.6576849378615889,0.43254947749000205
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs']",0.7225382773962694,0.5220615623027683
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'ref/docs']",0.6676322575827549,0.445732831365046
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.69313215705427,0.4804321871427052
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7214164744262742,0.5204417295736351
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'ref/docs']",0.7005835902563826,0.490817366936523
"['SJR', 'H-index', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7214495495818024,0.5204894525917856
"['SJR', 'H-index', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.6964474744437231,0.4850390846590404
"['SJR', 'H-index', 'Total Docs-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7247377663345757,0.52524482995163
"['SJR', 'H-index', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6602952141453728,0.4359897698232838
"['SJR', 'H-index', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7169397097054342,0.5140025473525123
"['SJR', 'H-index', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7092534924058556,0.503040516489903
"['SJR', 'H-index', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7218545874400233,0.5210740454082062
"['SJR', 'H-index', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.6637229944907163,0.44052821341572335
"['SJR', 'H-index', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7221332918514565,0.5214764912002208
"['SJR', 'H-index', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7213463639460806,0.5203405767782314
"['SJR', 'H-index', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7008714971347937,0.4912208554959671
"['SJR', 'H-index', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7250133333602753,0.5256443335501777
"['SJR', 'H-index', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7246776841908836,0.5251577459642621
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs']",0.729197392895958,0.5317288378062621
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs']",0.7217196603859242,0.5208792681875737
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs']",0.7269978803571693,0.528525918043817
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'ref/docs']",0.7185267198762073,0.5162806471760617
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7119004379410135,0.5068022335406068
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.724563433688254,0.5249921694381129
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'ref/docs']",0.7143331644935864,0.5102718698954212
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7242009245982324,0.5244669791889347
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7095526797693964,0.5034650053679316
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7234357117276636,0.5233592290029112
"['SJR', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7217001175033121,0.5208510596042945
"['SJR', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.719219856050858,0.517277201337817
"['SJR', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7468250968371091,0.5577477252657573
"['SJR', 'Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7264611221445265,0.5277457619874847
"['SJR', 'Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.71362463546462,0.5092601203420117
"['SJR', 'Total Docs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7219976834426769,0.5212806548965919
"['SJR', 'Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.724035717993424,0.524227720930253
"['SJR', 'Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7087957732518757,0.5023914481797244
"['SJR', 'Total Docs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7245595279833302,0.5249865095914263
"['SJR', 'Total Docs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7229324664523392,0.5226313510508626
"['SJR', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7361936718544895,0.5419811224785958
"['SJR', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7297931485929545,0.5325980397332182
"['SJR', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7267779705486992,0.5282062184748859
"['SJR', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7290851986867445,0.5315652269440897
"['SJR', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.7238140232516936,0.5239067402558033
"['SJR', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7260744634529503,0.5271841264784898
"['SJR', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.729628365751117,0.5323575521086458
"['SJR', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.721529332674228,0.5206045779093168
"['SJR', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7261401442296231,0.5272795090618179
"['SJR', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725741843635521,0.5267012236034849
"['SJR', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs']",0.6588739172072767,0.43411483877606133
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs']",0.6528526293016605,0.4262165555860914
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs']",0.7203126073722671,0.5188502523394338
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'ref/docs']",0.6626982173892121,0.4391689273308394
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6638854150673416,0.4407438443391364
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.718418466583289,0.5161250931278843
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'ref/docs']",0.6766012377371291,0.4577892349074151
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7180859802208654,0.5156474749897612
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.6674925075770509,0.44554624767149936
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7228745031113422,0.5225475472484699
"['H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6539889038284105,0.4277014863306859
"['H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7154450562213094,0.5118616284715125
"['H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7116767637244484,0.5064838160253045
"['H-index', 'Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7194836430086515,0.5176567125570007
"['H-index', 'Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.6581975394120932,0.43322400088813406
"['H-index', 'Total Docs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7218880169789116,0.5211223090577454
"['H-index', 'Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7177625775060225,0.5151831176680889
"['H-index', 'Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.6731811562848842,0.4531728691770536
"['H-index', 'Total Docs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7245682413793864,0.5249991364156167
"['H-index', 'Total Docs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.722231924835403,0.5216189532514512
"['H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6613686810236225,0.43740853223892606
"['H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7224173014106948,0.5218867573775107
"['H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.6758740841025186,0.4568057775614184
"['H-index', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7215495068775256,0.5206336908752004
"['H-index', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.664101428814374,0.441030707753293
"['H-index', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7257262731084876,0.5266786234799351
"['H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7214334800301472,0.5204662661084087
"['H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7024711399770857,0.49346570250070626
"['H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7249550923698974,0.5255598859530465
"['H-index', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.724729290356824,0.5252325443011057
"['H-index', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7219354265359215,0.5211907600876029
"['H-index', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.67182650854309,0.4513508575811986
"['H-index', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7262531637326036,0.527443657831616
"['H-index', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7251890880161945,0.5258992133777599
"['H-index', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7249183012466702,0.5255065434823581
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7212576483226139,0.5202125952638673
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7269155862091974,0.528406269473861
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7183932717555732,0.5160888929036769
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7263919407091896,0.5276452515272627
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.7137876986264006,0.5094928787103733
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7244123569342662,0.5247732628790587
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7242254509212166,0.5245025037620396
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7112420550150218,0.5058652608219913
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7234299924296449,0.5233509539467561
"['Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7230999660907893,0.5228735609605006
"['Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.726536252593913,0.5278549263332061
"['Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7121490485098407,0.5071562672934715
"['Total Docs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7252631524228427,0.5260066402623195
"['Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7239291854121748,0.5240734654915349
"['Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7228180503533459,0.5224659339166121
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7292000646088587,0.5317327342255637
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7183717614446733,0.5160579876411227
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7259286539951996,0.5269724106912822
